receipt_id,provider_key,reviewer_name,decision,created_at,evidence_type,evidence_path,checksum_sha256,evidence_status,evidence_verdict,evidence_generated_at,details
odds_api-20260817T154709-0400-275447444e89,odds_api,cooperross399,approved_for_allowlist_pr,2026-08-17T15:47:09-04:00,acceptance_checklist,data/outputs/provider_acceptance_checklist.json,7aa6af6017dcf0b243fa43add16307df4877d77f8b079aa0d9ac9e324331dd98,Bound,Ready for human allowlist review,2026-08-17T15:17:20-04:00,
odds_api-20260817T154709-0400-275447444e89,odds_api,cooperross399,approved_for_allowlist_pr,2026-08-17T15:47:09-04:00,reviewed_shadow_archive,data/outputs/archive/provider_shadow_runs/2026-08-17/151717_odds_api,350e8968939101ed4f96b65b40abea897318695fc14494007cbcaa7d5065af96,Bound,Needs provider policy review,2026-08-17T15:17:17-04:00,9 file(s); checklist integrity Verified; current integrity Verified
odds_api-20260817T154709-0400-275447444e89,odds_api,cooperross399,approved_for_allowlist_pr,2026-08-17T15:47:09-04:00,reviewed_shadow_archive,data/outputs/archive/provider_shadow_runs/2026-08-17/151711_odds_api,9548e60f62463182766da19fabfb5228a473fe395bc167abea691aad335fd735,Bound,Needs provider policy review,2026-08-17T15:17:11-04:00,9 file(s); checklist integrity Verified; current integrity Verified
odds_api-20260817T154709-0400-275447444e89,odds_api,cooperross399,approved_for_allowlist_pr,2026-08-17T15:47:09-04:00,reviewed_shadow_archive,data/outputs/archive/provider_shadow_runs/2026-08-17/151706_odds_api,03e810ba7a46d193774e99f05e8f67cf21dfae96caa64b767577a951377c50df,Bound,Needs provider policy review,2026-08-17T15:17:06-04:00,9 file(s); checklist integrity Verified; current integrity Verified
odds_api-20260817T154709-0400-275447444e89,odds_api,cooperross399,approved_for_allowlist_pr,2026-08-17T15:47:09-04:00,reviewed_shadow_archive,data/outputs/archive/provider_shadow_runs/2026-08-17/151700_odds_api,1fd4711908ca3ccc01d0144ef30064250bddb1ba9de18877ea9222e1aa14e760,Bound,Needs provider policy review,2026-08-17T15:17:00-04:00,9 file(s); checklist integrity Verified; current integrity Verified
odds_api-20260817T154709-0400-275447444e89,odds_api,cooperross399,approved_for_allowlist_pr,2026-08-17T15:47:09-04:00,reviewed_shadow_archive,data/outputs/archive/provider_shadow_runs/2026-08-17/151655_odds_api,68478b7192e7004b4e7426223e39e06d7074b3704681c5072409669ec9432471,Bound,Needs provider policy review,2026-08-17T15:16:55-04:00,9 file(s); checklist integrity Verified; current integrity Verified
odds_api-20260817T154709-0400-275447444e89,odds_api,cooperross399,approved_for_allowlist_pr,2026-08-17T15:47:09-04:00,latest_live_shadow_archive_set,data/outputs/archive/provider_shadow_runs,,Verified,,,The checklist reviewed the current latest live shadow-run archive set.
odds_api-20260817T154709-0400-275447444e89,odds_api,cooperross399,approved_for_allowlist_pr,2026-08-17T15:47:09-04:00,latest_shadow_comparison,data/outputs/provider_shadow_run_comparison.json,bd726c676cc3a63e1ec9fe283881febbedd08b04513abf4d6e2c2aacce0d081f,Bound,Needs more shadow runs,2026-08-04T11:59:59-04:00,
odds_api-20260817T154709-0400-275447444e89,odds_api,cooperross399,approved_for_allowlist_pr,2026-08-17T15:47:09-04:00,provider_policy,data/manual/staging_provider_policy.json,23d88241a66c9cc86b59d4278694b4e1522fd48048c268e0744dd217020b21d3,Bound,,,
